Rank 2023,Country,Airport,City served
Rank 2023,Country,Airport,City served
2,Turkey1,Istanbul Airport,Istanbul
3,France1,Charles de Gaulle Airport,Paris
4,Netherlands1,Amsterdam Airport Schiphol,Amsterdam
5,Spain1,Adolfo Suárez Madrid–Barajas Airport,Madrid
6,Germany1,Frankfurt am Main Airport,Frankfurt
7,Spain2,Josep Tarradellas Barcelona–El Prat Airport,Barcelona
8,United Kingdom2,Gatwick Airport,London
9,Italy 1,Leonardo da Vinci–Fiumicino Airport,Rome
10,Germany2,Munich Airport,Munich
11,Russia1,Sheremetyevo International Airport,Moscow
12,Portugal1,Lisbon Airport,Lisbon
13,Ireland1,Dublin Airport,Dublin
14,France2,Orly Airport,Paris
15,Spain3,Palma de Mallorca Airport,Palma de Mallorca
16,Austria1,Vienna International Airport,Vienna
17,Switzerland1,Zurich Airport,Zürich
18,Greece1,Athens International Airport,Athens
19,United Kingdom3,Manchester Airport,Manchester
20,United Kingdom4,Stansted Airport,London
21,Denmark1,Copenhagen Airport,Copenhagen
22,Italy2,Malpensa Airport,Milan
23,Norway1,"Oslo Airport, Gardermoen",Oslo
24,Germany3,Berlin Brandenburg Airport,Berlin
25,Spain4,Málaga Airport,Málaga
26,Belgium1,Brussels Airport,Brussels
27,Sweden1,Stockholm Arlanda Airport,Stockholm
28,Russia2,Pulkovo Airport,Saint Petersburg
29,Russia3,Domodedovo International Airport,Moscow
30,Germany4,Düsseldorf Airport,Düsseldorf
31,Poland1,Warsaw Chopin Airport,Warsaw
32,Switzerland2,Geneva Airport,Geneva
33,United Kingdom5,Luton Airport,London
34,Italy3,Orio al Serio International Airport,Milan/Bergamo
35,Spain5,Alicante–Elche Miguel Hernández Airport,Alicante/Elche
36,Finland1,Helsinki Airport,Helsinki
37,Portugal2,Porto Airport,Porto
38,Hungary1,Budapest Ferenc Liszt International Airport,Budapest
39,Romania1,Henri Coandă International Airport,Bucharest
40,Russia4,Vnukovo International Airport,Moscow
41,United Kingdom6,Edinburgh Airport,Edinburgh
42,France3,Nice Côte d'Azur Airport,Nice
43,Russia5,Sochi International Airport,Sochi
44,Czech Republic1,Václav Havel Airport Prague,Prague
45,Germany5,Hamburg Airport,Hamburg
46,Italy4,Naples Airport,Naples
47,United Kingdom7,Birmingham Airport,Birmingham
48,Italy5,Venice Marco Polo Airport,Venice
49,France4,Marseille Provence Airport,Marseille
50,Italy6,Catania-Fontanarossa Airport,Catania
51,France5,Lyon–Saint-Exupéry Airport,Lyon
52,Italy7,Bologna Guglielmo Marconi Airport,Bologna
53,Spain6,Valencia Airport,Valencia
54,United Kingdom8,Bristol Airport,Bristol
55,Germany6,Cologne Bonn Airport,Cologne/Bonn
56,Portugal3,Faro Airport,Faro
57,Italy8,Linate Airport,Milan
58,Poland2,Kraków John Paul II International Airport,Kraków
59,Belgium2,Brussels South Charleroi Airport,Charleroi
60,Spain7,Ibiza Airport,Ibiza
61,Greece2,Heraklion International Airport,Heraklion
62,Germany7,Stuttgart Airport,Stuttgart
63,Italy9,Falcone–Borsellino Airport,Palermo
64,France6  Switzerland3,EuroAirport Basel Mulhouse Freiburg,Basel/Mulhouse/Freiburg im Breisgau
65,Cyprus1,Larnaca International Airport,Larnaca
66,Spain8,Seville Airport,Seville
67,Serbia1,Belgrade Nikola Tesla Airport,Belgrade
68,France7,Toulouse–Blagnac Airport,Toulouse
69,Malta1,Malta International Airport,Malta
70,Iceland1,Keflavík International Airport,Reykjavík
71,Albania1,Tirana Airport,Tirana
72,Bulgaria1,Sofia Airport,Sofia
73,United Kingdom9,Glasgow Airport,Glasgow
74,Greece3,"Thessaloniki Airport ""Macedonia""",Thessaloniki
75,Netherlands2,Eindhoven Airport,Eindhoven
76,Latvia1,Riga International Airport,Riga
77,France8,Bordeaux–Mérignac Airport,Bordeaux
78,France9,Nantes Atlantique Airport,Nantes
79,Italy10,Bari Airport,Bari
80,Norway2,"Bergen Airport, Flesland",Bergen
81,Spain9,Bilbao Airport,Bilbao
82,Greece4,Rhodes International Airport,Rhodes
83,United Kingdom10,Belfast International Airport,Belfast
84,Poland3,Gdańsk Lech Wałęsa Airport,Gdańsk
85,France10,Beauvais–Tillé Airport,Paris
86,Poland4,Katowice Airport,Katowice
87,Sweden2,Göteborg Landvetter Airport,Gothenburg
88,Russia6,Kazan International Airport,Kazan
89,Italy11,Pisa International Airport,Pisa
90,Luxembourg1,Luxembourg Airport,Luxembourg City
91,Italy12,Cagliari Elmas Airport,Cagliari
92,Portugal4,Madeira Airport,Santa Cruz
93,United Kingdom11,Newcastle Airport,Newcastle upon Tyne
94,Russia7,Ufa International Airport,Ufa
95,Russia8,Mineralnye Vody Airport[note 1],Mineralnye Vody
96,Germany8,Hannover Airport,Hannover
97,Italy13,Turin Airport,Turin
98,Lithuania1,Vilnius International Airport,Vilnius
99,Russia9,Khrabrovo Airport,Kaliningrad
100,United Kingdom12,Liverpool John Lennon Airport,Liverpool
101,Greece5,Corfu International Airport,Corfu
